customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,address,postcode,state,country,property_valuation,size,margin,age,age_group,bigger_age_group
1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11.0,060 Morning Avenue,2016,NSW,Australia,10,11,274.3718181818181,67.0,"(59.0, 69.0]","(50.0, 70.0]"
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16.0,6 Meadow Vale Court,2153,NSW,Australia,10,3,742.0866666666667,40.0,"(39.0, 49.0]","(30.0, 50.0]"
4,Talbot,,Male,33,1961-10-03,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7.0,0 Holy Cross Court,4211,QLD,Australia,9,2,110.285,59.0,"(49.0, 59.0]","(50.0, 70.0]"
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,,Affluent Customer,N,NIL,Yes,8.0,17979 Del Mar Point,2448,NSW,Australia,4,6,399.1566666666667,43.0,"(39.0, 49.0]","(30.0, 50.0]"
6,Curr,Duckhouse,Male,35,1966-09-16,,Retail,High Net Worth,N,ðµ ð ð ð,Yes,13.0,9 Oakridge Court,3216,VIC,Australia,9,5,789.3100000000001,54.0,"(49.0, 59.0]","(50.0, 70.0]"
7,Fina,Merali,Female,6,1976-02-23,,Financial Services,Affluent Customer,N,â°â´âµâââ,Yes,11.0,4 Delaware Trail,2210,NSW,Australia,9,3,73.36999999999999,45.0,"(39.0, 49.0]","(30.0, 50.0]"
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,7.0,49 Londonderry Lane,2650,NSW,Australia,4,10,706.6939999999998,58.0,"(49.0, 59.0]","(50.0, 70.0]"
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8.0,97736 7th Trail,2023,NSW,Australia,12,6,392.18499999999995,48.0,"(39.0, 49.0]","(30.0, 50.0]"
11,Uriah,Bisatt,Male,99,1954-04-30,,Property,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,9.0,93405 Ludington Park,3044,VIC,Australia,8,6,606.4733333333335,66.0,"(59.0, 69.0]","(50.0, 70.0]"
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8.0,44339 Golden Leaf Alley,4557,QLD,Australia,4,7,505.7185714285714,26.0,"(19.0, 29.0]","(10.0, 30.0]"
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,-100,Yes,8.0,2 Sutherland Street,3799,VIC,Australia,6,7,619.6257142857143,66.0,"(59.0, 69.0]","(50.0, 70.0]"
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,â°â´âµ,No,6.0,9 Mcbride Trail,2760,NSW,Australia,8,4,571.3000000000001,37.0,"(29.0, 39.0]","(30.0, 50.0]"
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,ð,No,1.0,9861 New Castle Avenue,2428,NSW,Australia,9,6,288.065,20.0,"(19.0, 29.0]","(10.0, 30.0]"
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,,Mass Customer,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,Yes,18.0,52 Moland Street,3331,VIC,Australia,4,5,904.3679999999998,44.0,"(39.0, 49.0]","(30.0, 50.0]"
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,,Affluent Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,15.0,82391 Kensington Lane,3058,VIC,Australia,9,5,403.122,59.0,"(49.0, 59.0]","(50.0, 70.0]"
18,Marjie,Neasham,Female,79,1967-07-06,Professor,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,11.0,092 2nd Alley,2135,NSW,Australia,12,7,506.19714285714286,53.0,"(49.0, 59.0]","(50.0, 70.0]"
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1.0,59 Spaight Circle,2233,NSW,Australia,9,3,983.93,19.0,"(10.0, 19.0]","(10.0, 30.0]"
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,ð©ð½,No,11.0,032 Bartelt Crossing,2444,NSW,Australia,8,4,902.0699999999999,40.0,"(39.0, 49.0]","(30.0, 50.0]"
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,-100,Yes,16.0,18 Jenna Center,2650,NSW,Australia,7,5,845.882,40.0,"(39.0, 49.0]","(30.0, 50.0]"
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15.0,3 Cordelia Plaza,2153,NSW,Australia,10,8,527.05,43.0,"(39.0, 49.0]","(30.0, 50.0]"
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,Yes,21.0,28 5th Center,4413,QLD,Australia,3,12,444.47166666666675,44.0,"(39.0, 49.0]","(30.0, 50.0]"
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16.0,52 Carey Alley,4740,QLD,Australia,5,3,134.11999999999995,42.0,"(39.0, 49.0]","(30.0, 50.0]"
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12.0,96 Texas Plaza,3218,VIC,Australia,7,7,467.7500000000001,42.0,"(39.0, 49.0]","(30.0, 50.0]"
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21.0,48 Eagan Avenue,4868,QLD,Australia,4,6,561.0933333333334,47.0,"(39.0, 49.0]","(30.0, 50.0]"
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19.0,9 Buell Park,4116,QLD,Australia,7,9,686.1444444444444,52.0,"(49.0, 59.0]","(50.0, 70.0]"
30,Darrick,Helleckas,Male,18,1961-10-18,,IT,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,6.0,02663 Buell Parkway,2519,NSW,Australia,11,3,877.9833333333332,59.0,"(49.0, 59.0]","(50.0, 70.0]"
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,testâ testâ«,Yes,14.0,2294 Pleasure Place,2135,NSW,Australia,12,4,106.52749999999999,58.0,"(49.0, 59.0]","(50.0, 70.0]"
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,4.0,2951 Petterle Place,2756,NSW,Australia,9,7,403.30285714285714,25.0,"(19.0, 29.0]","(10.0, 30.0]"
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,,Affluent Customer,N,<script>alert('hi')</script>,Yes,11.0,63 Lukken Drive,2170,NSW,Australia,9,7,756.3242857142858,63.0,"(59.0, 69.0]","(50.0, 70.0]"
34,Jephthah,Bachmann,,59,,Legal Assistant,IT,Affluent Customer,N,,No,20.0,833 Luster Way,4005,QLD,Australia,8,9,603.19875,,nan,nan
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,!@#$%^&*(),Yes,16.0,34 Russell Plaza,4127,QLD,Australia,6,4,926.6274999999999,57.0,"(49.0, 59.0]","(50.0, 70.0]"
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,,Affluent Customer,N,"<>?:""{}|_+",No,22.0,78 Del Sol Hill,2535,NSW,Australia,8,2,102.17999999999999,43.0,"(39.0, 49.0]","(30.0, 50.0]"
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,16.0,54 Sage Plaza,4726,QLD,Australia,1,9,704.2766666666668,35.0,"(29.0, 39.0]","(30.0, 50.0]"
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,"''''""",No,20.0,90 Lawn Parkway,4805,QLD,Australia,4,4,506.335,65.0,"(59.0, 69.0]","(50.0, 70.0]"
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,',No,22.0,38726 Ilene Crossing,2212,NSW,Australia,10,12,507.0975,41.0,"(39.0, 49.0]","(30.0, 50.0]"
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,14.0,3496 Brown Drive,2207,NSW,Australia,8,6,758.6833333333334,39.0,"(29.0, 39.0]","(30.0, 50.0]"
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16.0,7188 Cody Way,3350,VIC,Australia,9,9,522.098888888889,44.0,"(39.0, 49.0]","(30.0, 50.0]"
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,18.0,1 Claremont Park,3931,VIC,Australia,10,4,106.76,43.0,"(39.0, 49.0]","(30.0, 50.0]"
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,â°â´âµ,No,5.0,60 Eagan Circle,4018,QLD,Australia,8,9,402.2166666666667,38.0,"(29.0, 39.0]","(30.0, 50.0]"
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17.0,89314 Eagle Crest Center,4670,QLD,Australia,2,7,681.1828571428571,39.0,"(29.0, 39.0]","(30.0, 50.0]"
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,åè£½æ¼¢èª,No,8.0,2028 Lakewood Place,2480,NSW,Australia,3,3,349.38333333333327,45.0,"(39.0, 49.0]","(30.0, 50.0]"
46,Kaila,Allin,Female,98,1972-02-26,,,Affluent Customer,N,â°â´âµâââ,Yes,15.0,70875 Hudson Point,3212,VIC,Australia,6,5,324.72599999999994,49.0,"(39.0, 49.0]","(30.0, 50.0]"
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,<script>alert('hi')</script>,No,2.0,543 Killdeer Park,2322,NSW,Australia,4,7,618.8842857142857,28.0,"(19.0, 29.0]","(10.0, 30.0]"
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8.0,22125 Ramsey Drive,3198,VIC,Australia,9,8,695.135,45.0,"(39.0, 49.0]","(30.0, 50.0]"
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,,Affluent Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,1.0,3107 Calypso Terrace,2210,NSW,Australia,9,5,849.7360000000001,27.0,"(19.0, 29.0]","(10.0, 30.0]"
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,0/0,Yes,16.0,957 Veith Junction,2047,NSW,Australia,10,8,722.9575,40.0,"(39.0, 49.0]","(30.0, 50.0]"
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18.0,4853 Gulseth Avenue,4503,QLD,Australia,5,8,606.925,61.0,"(59.0, 69.0]","(50.0, 70.0]"
52,Curran,Bentson,Male,57,1988-06-22,,Financial Services,Mass Customer,N,2018-02-01 00:00:00,Yes,13.0,9 Michigan Terrace,2145,NSW,Australia,8,7,902.9716666666667,32.0,"(29.0, 39.0]","(30.0, 50.0]"
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,1,No,16.0,62 Steensland Road,4350,QLD,Australia,3,5,590.014,66.0,"(59.0, 69.0]","(50.0, 70.0]"
54,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,N,-0.5,Yes,18.0,6 Homewood Avenue,2142,NSW,Australia,8,7,585.4585714285714,54.0,"(49.0, 59.0]","(50.0, 70.0]"
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,Yes,7.0,15 Almo Lane,2029,NSW,Australia,10,8,402.6075,64.0,"(59.0, 69.0]","(50.0, 70.0]"
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,N,ã,Yes,4.0,690 Glacier Hill Circle,2127,NSW,Australia,10,7,182.17714285714283,24.0,"(19.0, 29.0]","(10.0, 30.0]"
57,Abba,Masedon,Male,87,1988-06-13,Chief Design Engineer,,Mass Customer,N,100,Yes,13.0,89787 Village Green Terrace,4280,QLD,Australia,6,6,852.9933333333333,32.0,"(29.0, 39.0]","(30.0, 50.0]"
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,1;DROP TABLE users,Yes,17.0,18 Elgar Park,2166,NSW,Australia,9,8,437.67125,53.0,"(49.0, 59.0]","(50.0, 70.0]"
