customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,2018-02-01 00:00:00,Yes,15.0
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,ð©ð½,Yes,20.0
22,Deeanne,Durtnell,Female,79,1962-12-10,,IT,Mass Customer,N,ï¼ï¼ï¼,No,11.0
23,Olav,Polak,Male,43,1995-02-10,,,High Net Worth,N,2018-02-01 00:00:00,Yes,1.0
852,Andie,Bonney,Female,37,2000-11-04,Compensation Analyst,Financial Services,Affluent Customer,N,!@#$%^&*(),Yes,2.0
869,Addia,Abels,Female,7,1984-03-11,Account Representative I,Financial Services,High Net Worth,N,"__ï¾(,_,*)",Yes,10.0
1373,Shaylynn,Epsley,Female,3,1958-09-23,Director of Sales,Financial Services,Mass Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,12.0
2074,Roslyn,Rawdall,Female,90,1997-06-11,,Financial Services,Mass Customer,N,100,No,4.0
2660,Hunt,Scollard,Male,44,1963-11-15,,Retail,High Net Worth,N,,Yes,19.0
3229,Carrol,Gheorghie,Male,69,1964-10-18,Sales Representative,Retail,High Net Worth,N,"__ï¾(,_,*)",Yes,6.0
3236,Edsel,Arguile,Male,37,1993-04-01,,Manufacturing,Mass Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,Yes,5.0
3501,Kayla,Alentyev,Female,63,1970-01-19,Operator,Telecommunications,Mass Customer,N,<img src=x onerror=alert('hi') />,Yes,18.0
3502,Wilfrid,Cleaves,Male,5,1997-10-16,Senior Sales Associate,Retail,High Net Worth,N,0/0,Yes,3.0
3503,Tootsie,Rafter,Female,53,1979-03-12,Financial Advisor,Financial Services,Affluent Customer,N,,Yes,10.0
3504,Keriann,Perdue,Female,39,1963-07-06,Business Systems Development Analyst,Manufacturing,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,6.0
3505,Dolly,Scallan,Female,41,1974-08-06,,Retail,Mass Customer,N,ð¾ ð ð ð ð ð ð ð§,No,14.0
3506,Mercy,Donisi,Female,19,1975-06-18,Web Designer I,Financial Services,Mass Customer,N,åè£½æ¼¢èª,No,15.0
3507,Christoph,Greatreax,Male,70,1955-03-03,Physical Therapy Assistant,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,5.0
3508,Malvin,Marre,Male,89,1986-08-09,Pharmacist,Health,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,5.0
3509,Janine,Hesey,Female,85,1978-11-22,Pharmacist,Health,Mass Customer,N,0,Yes,15.0
3510,Jemima,Izaac,,48,,Safety Technician II,IT,Affluent Customer,N,,Yes,
3511,Willem,Spraging,Male,23,1966-12-31,Food Chemist,Health,Affluent Customer,N,1,No,10.0
3512,Vladimir,Abramowsky,Male,68,1994-03-24,VP Accounting,Financial Services,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,Yes,8.0
3513,Enriqueta,Waterhowse,,80,,Internal Auditor,IT,Affluent Customer,N,,Yes,
3514,Darcy,Ilett,Male,25,1962-08-24,Environmental Specialist,,Mass Customer,N,100,No,8.0
3515,Leelah,Pynner,Female,11,1975-01-14,Staff Scientist,Telecommunications,High Net Worth,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,18.0
3516,Diarmid,Vearnals,Male,93,1977-04-30,,Property,Mass Customer,N,testâ testâ«,Yes,15.0
3517,Domeniga,Terney,Female,47,1957-07-04,Accounting Assistant IV,,Mass Customer,N,-100,Yes,6.0
3518,Magdaia,Beardwell,Female,45,1980-06-18,Biostatistician I,IT,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,8.0
3519,Aldus,Kenningley,Male,16,1978-05-21,Software Consultant,Manufacturing,Mass Customer,N,â¦testâ§,Yes,11.0
3520,Travis,Kaszper,Male,41,1963-08-17,Research Nurse,Health,Mass Customer,N,-1,Yes,16.0
3521,Oneida,Olivia,Female,27,1980-03-10,Research Associate,,High Net Worth,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,16.0
3522,Lorri,Byrth,Female,73,1989-08-21,Cost Accountant,Financial Services,High Net Worth,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,Yes,11.0
3523,Lin,Tarver,Male,33,1975-06-14,,,Affluent Customer,N,åè£½æ¼¢èª,No,19.0
3524,Waiter,Piscopello,Male,38,1973-12-30,Design Engineer,Financial Services,Mass Customer,N,1,Yes,18.0
3525,Town,Yitzhakov,Male,55,1996-08-16,Editor,,Mass Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,No,2.0
3526,Pail,Iacopini,Male,84,1978-09-19,General Manager,Telecommunications,High Net Worth,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,Yes,13.0
3527,Kiley,Scotson,Female,77,1978-12-02,Senior Cost Accountant,Financial Services,High Net Worth,N,ã»(ï¿£âï¿£)ã»:*:,No,18.0
3528,Eliot,Scammell,Male,69,1964-04-06,Internal Auditor,Manufacturing,Mass Customer,N,,Yes,7.0
3529,Austine,Kinny,Female,37,1960-11-23,Structural Analysis Engineer,IT,High Net Worth,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),Yes,16.0
3530,Erik,Kenneford,Male,19,1973-10-23,Staff Scientist,,High Net Worth,N,100,Yes,8.0
3531,Shannah,Pountain,Female,4,1969-01-27,Marketing Manager,Retail,Affluent Customer,N,<img src=x onerror=alert('hi') />,Yes,11.0
3532,May,Birch,Female,27,1990-07-24,Media Manager I,Health,High Net Worth,N,1,Yes,7.0
3533,Neale,Lowings,Male,62,1981-02-14,,Financial Services,Affluent Customer,N,-100,Yes,8.0
3534,Kacie,Stanbrooke,Female,92,1975-05-15,Associate Professor,Manufacturing,Affluent Customer,N,ï»¿,Yes,3.0
3535,Bren,Dabbes,Female,8,1994-09-15,Technical Writer,Manufacturing,High Net Worth,N,Ù¡Ù¢Ù£,No,6.0
3536,Laurence,Aulsford,Male,46,1967-12-24,Professor,Retail,Affluent Customer,N,0/0,No,18.0
3537,Sholom,Pavlasek,Male,1,1997-01-15,Graphic Designer,Financial Services,Mass Customer,N,-100,No,4.0
3538,Kerby,Nassie,Male,19,1977-11-14,Marketing Manager,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,8.0
3539,Sheelah,Caine,Female,94,1985-03-21,,IT,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,Yes,16.0
3540,Ali,Naris,Male,49,1954-08-27,,,Mass Customer,N,1,Yes,7.0
3541,Aloin,Harhoff,Male,72,1986-01-03,,Health,Mass Customer,N,"""'",No,11.0
3542,Perl,Suddaby,Female,23,1975-03-11,Financial Analyst,Financial Services,Mass Customer,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,No,10.0
3543,Shanie,Zahor,Female,15,1986-12-25,Food Chemist,Health,High Net Worth,N,â£,Yes,21.0
3544,Benoite,Trahmel,Female,25,1998-08-13,Help Desk Technician,,Affluent Customer,N,â£,No,1.0
3545,Wenonah,Filgate,Female,66,1974-07-19,Developer II,,High Net Worth,N,á,No,4.0
